#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1BBA
#Date Time: 2021-10-18 10:16:51.023
#Sample rate: 4e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 225 mV Attenuation: 1 X Zero: 1.70421843 V

Time (s),Channel 1 (V)
0.0034065,-0.1559394939368
0.00340675,-0.2566250149747609
0.003407,-0.1933177308438689
0.00340725,-0.221940705051985
0.0034075,-0.2074608475114086
0.00340775,-0.2367573034655981
0.003408,-0.1707560923504128
0.00340825,-0.2761559856108871
0.0034085,-0.15492927131769
0.00340875,-0.2535943471174309
0.003409,-0.2027464752888954
0.00340925,-0.2054404022731888
0.0034095,-0.2367573034655981
0.00340975,-0.1980321030663823
0.00341,-0.2115017379878485
0.00341025,-0.2290122633857548
0.0034105,-0.2000525483046023
0.00341075,-0.2135221832260685
0.003411,-0.2475330114027712
0.00341125,-0.15492927131769
0.0034115,-0.2731253177535571
0.00341175,-0.1579599391750197
0.003412,-0.2845745074368036
0.00341225,-0.1444903042535535
0.0034125,-0.2556147923556509
0.00341275,-0.1960116578281623
0.003413,-0.2236244094171682
0.00341325,-0.2007260300506755
0.0034135,-0.2418084165611478
0.00341375,-0.1663784610009362
0.003414,-0.2667272411658606
0.00341425,-0.1761439463189993
0.0034145,-0.2296857451318282
0.00341475,-0.224971372909315
0.003415,-0.1832155046527693
0.00341525,-0.2478697522758078
0.0034155,-0.1953381760820889
0.00341575,-0.2185732963216185
0.003416,-0.2226141867980582
0.00341625,-0.2121752197339219
0.0034165,-0.1960116578281623
0.00341675,-0.2576352375938709
0.003417,-0.1542557895716166
0.00341725,-0.2795233943412536
0.0034175,-0.1626743113975331
0.00341775,-0.2414716756881112
0.003418,-0.206113884019262
0.00341825,-0.2189100371946551
0.0034185,-0.2010627709237121
0.00341875,-0.2488799748949178
0.003419,-0.166715201873973
0.00341925,-0.2603291645781642
0.0034195,-0.1828787637797327
0.00341975,-0.2209304824328751
0.00342,-0.2344001173543413
0.00342025,-0.1808583185415127
0.0034205,-0.2401247121959647
0.00342075,-0.202072993542822
0.003421,-0.2118384788608851
0.00342125,-0.2216039641789485
0.0034215,-0.2340633764813047
0.00342175,-0.1545925304446532
0.003422,-0.2788499125951804
0.00342225,-0.1778276506841827
0.0034225,-0.2296857451318282
0.00342275,-0.2017362526697855
0.003423,-0.2276652998936082
0.00342325,-0.1818685411606227
0.0034235,-0.2721150951344473
0.00342375,-0.14886793560303
0.003424,-0.2690844272771173
0.00342425,-0.1838889863988427
0.0034245,-0.2152058875912519
0.00342475,-0.2370940443386347
0.003425,-0.1909605447326124
0.00342525,-0.2256448546553882
0.0034255,-0.2182365554485817
0.00342575,-0.1939912125899423
0.003426,-0.2327164129891581
0.00342625,-0.2256448546553882
0.0034265,-0.1838889863988427
0.00342675,-0.2394512304498913
0.003427,-0.1744602419538162
0.00342725,-0.2761559856108871
0.0034275,-0.1532455669525066
0.00342775,-0.2539310879904677
0.003428,-0.1970218804472723
0.00342825,-0.2128487014799951
0.0034285,-0.2306959677509381
0.00342875,-0.2098180336226654
0.003429,-0.1886033586213558
0.00342925,-0.2509004201331377
0.0034295,-0.1768174280650727
0.00342975,-0.2448390844184778
0.00343,-0.2138589240991051
0.00343025,-0.1953381760820889
0.0034305,-0.2448390844184778
0.00343075,-0.1896135812404658
0.003431,-0.2192467780676917
0.00343125,-0.2306959677509381
0.0034315,-0.1886033586213558
0.00343175,-0.2354103399734513
0.003432,-0.2135221832260685
0.00343225,-0.1926442490977958
0.0034325,-0.2455125661645512
0.00343275,-0.1879298768752824
0.003433,-0.2199202598137651
0.00343325,-0.2317061903700481
0.0034335,-0.1838889863988427
0.00343375,-0.2445023435454412
0.003434,-0.2034199570349688
0.00343425,-0.2024097344158589
0.0034345,-0.2407981939420378
0.00343475,-0.1875931360022458
0.003435,-0.2236244094171682
0.00343525,-0.226991818147535
0.0034355,-0.1848992090179524
0.00343575,-0.2428186391802578
0.003436,-0.2017362526697855
0.00343625,-0.205103661400152
0.0034365,-0.2434921209263312
0.00343675,-0.1822052820336593
0.003437,-0.2323796721161215
0.00343725,-0.2192467780676917
0.0034375,-0.1919707673517224
0.00343775,-0.2441656026724046
0.003438,-0.1987055848124555
0.00343825,-0.208134329257482
0.0034385,-0.2391144895768547
0.00343875,-0.1838889863988427
0.003439,-0.2340633764813047
0.00343925,-0.2178998145755451
0.0034395,-0.1896135812404658
0.00343975,-0.2465227887836612
0.00344,-0.1923075082247589
0.00344025,-0.2145324058451785
0.0034405,-0.2364205625925613
0.00344075,-0.1855726907640258
0.003441,-0.2357470808464881
0.00344125,-0.2108282562417754
0.0034415,-0.1933177308438689
0.00344175,-0.2421451574341846
0.003442,-0.1906238038595758
0.00344225,-0.2172263328294717
0.0034425,-0.2344001173543413
0.00344275,-0.1808583185415127
0.003443,-0.2424818983072212
0.00344325,-0.205103661400152
0.0034435,-0.2013995117967489
0.00344375,-0.2428186391802578
0.003444,-0.1896135812404658
0.00344425,-0.2226141867980582
0.0034445,-0.2290122633857548
0.00344475,-0.1855726907640258
0.003445,-0.2441656026724046
0.00344525,-0.2003892891776389
0.0034455,-0.2054404022731888
0.00344575,-0.2411349348150746
0.003446,-0.1852359498909892
0.00344625,-0.2296857451318282
0.0034465,-0.2246346320362782
0.00344675,-0.1869196542561724
0.003447,-0.2471962705297344
0.00344725,-0.1909605447326124
0.0034475,-0.2148691467182151
0.00344775,-0.2340633764813047
0.003448,-0.1886033586213558
0.00344825,-0.2303592268779016
0.0034485,-0.2185732963216185
0.00344875,-0.1872563951292092
0.003449,-0.2471962705297344
0.00344925,-0.1956749169551255
0.0034495,-0.2141956649721419
0.00344975,-0.2360838217195247
0.00345,-0.1822052820336593
0.00345025,-0.2397879713229278
0.0034505,-0.2125119606069585
0.00345075,-0.1919707673517224
0.003451,-0.2525841244983209
0.00345125,-0.1882666177483192
0.0034515,-0.2074608475114086
0.00345175,-0.2381042669577447
0.003452,-0.2115017379878485
0.00345225,-0.1875931360022458
0.0034525,-0.2556147923556509
0.00345275,-0.1801848367954393
0.003453,-0.2374307852116713
0.00345325,-0.2125119606069585
0.0034535,-0.1987055848124555
0.00345375,-0.224971372909315
0.003454,-0.221940705051985
0.00345425,-0.1845624681449158
0.0034545,-0.263359832435494
0.00345475,-0.1626743113975331
0.003455,-0.2461860479106244
0.00345525,-0.2077975883844454
0.0034555,-0.1997158074315655
0.00345575,-0.2360838217195247
0.003456,-0.2034199570349688
0.00345625,-0.2044301796540788
0.0034565,-0.2387777487038181
0.00345675,-0.1899503221135024
0.003457,-0.2216039641789485
0.00345725,-0.2381042669577447
0.0034575,-0.1623375705244965
0.00345775,-0.2758192447378505
0.003458,-0.1603171252862765
0.00345825,-0.2502269383870643
0.0034585,-0.1990423256854923
0.00345875,-0.2209304824328751
0.003459,-0.1980321030663823
0.00345925,-0.2519106427522477
0.0034595,-0.1522353443333966
0.00345975,-0.285247989182877
0.00346,-0.1559394939368
0.00346025,-0.2451758252915144
0.0034605,-0.2088078110035554
0.00346075,-0.2024097344158589
0.003461,-0.2273285590205716
0.00346125,-0.2135221832260685
0.0034615,-0.1983688439394189
0.00346175,-0.2401247121959647
0.003462,-0.1966851395742355
0.00346225,-0.2047669205271154
0.0034625,-0.2522473836252843
0.00346275,-0.1566129756828731
0.003463,-0.2737987994996305
0.00346325,-0.1690723879852296
0.0034635,-0.2381042669577447
0.00346375,-0.2034199570349688
0.003464,-0.221940705051985
0.00346425,-0.1906238038595758
0.0034645,-0.2606659054512008
0.00346475,-0.15088838084125
0.003465,-0.2768294673569605
0.00346525,-0.1670519427470096
0.0034655,-0.2306959677509381
0.00346575,-0.221940705051985
0.003466,-0.1963483987011989
0.00346625,-0.2242978911632416
0.0034665,-0.2226141867980582
0.00346675,-0.1899503221135024
0.003467,-0.2418084165611478
0.00346725,-0.203083216161932
0.0034675,-0.1953381760820889
0.00346775,-0.2603291645781642
0.003468,-0.1552660121907266
0.00346825,-0.2687476864040805
0.0034685,-0.1798480959224027
0.00346875,-0.2300224860048647
0.003469,-0.2104915153687386
0.00346925,-0.2256448546553882
0.0034695,-0.1798480959224027
0.00346975,-0.2721150951344473
0.00347,-0.1471842312378466
0.00347025,-0.2748090221187405
0.0034705,-0.1791746141763293
0.00347075,-0.2209304824328751
0.003471,-0.226991818147535
0.00347125,-0.2007260300506755
0.0034715,-0.2155426284642885
0.00347175,-0.2310327086239747
0.003472,-0.1872563951292092
0.00347225,-0.2333898947352315
0.0034725,-0.2185732963216185
0.00347275,-0.1801848367954393
0.003473,-0.2717783542614105
0.00347325,-0.15189860346036
0.0034735,-0.2616761280703108
0.00347375,-0.1953381760820889
0.003474,-0.2178998145755451
0.00347425,-0.206113884019262
0.0034745,-0.2394512304498913
0.00347475,-0.1727765375886328
0.003475,-0.2805336169603636
0.00347525,-0.1451637859996269
0.0034755,-0.2620128689433474
0.00347575,-0.1923075082247589
0.003476,-0.2121752197339219
0.00347625,-0.2320429312430847
0.0034765,-0.2057771431462254
0.00347675,-0.2057771431462254
0.003477,-0.2387777487038181
0.00347725,-0.1835522455258058
0.0034775,-0.2296857451318282
0.00347775,-0.2296857451318282
0.003478,-0.1731132784616696
0.00347825,-0.2727885768805205
0.0034785,-0.1606538661593131
0.00347875,-0.2505636792601009
0.003479,-0.1993790665585289
0.00347925,-0.2189100371946551
0.0034795,-0.2047669205271154
0.00347975,-0.2451758252915144
0.00348,-0.1586334209210931
0.00348025,-0.2808703578334004
0.0034805,-0.1532455669525066
0.00348075,-0.2539310879904677
0.003481,-0.2088078110035554
0.00348125,-0.202072993542822
0.0034815,-0.2216039641789485
0.00348175,-0.205103661400152
0.003482,-0.2381042669577447
0.00348225,-0.1963483987011989
0.0034825,-0.206113884019262
0.00348275,-0.2313694494970115
0.003483,-0.209144551876592
0.00348325,-0.2010627709237121
0.0034835,-0.2525841244983209
0.00348375,-0.1532455669525066
0.003484,-0.2785131717221436
0.00348425,-0.1636845340166431
0.0034845,-0.2431553800532946
0.00348475,-0.2007260300506755
0.003485,-0.2212672233059116
0.00348525,-0.1916340264786858
0.0034855,-0.2572984967208343
0.00348575,-0.1582966800480565
0.003486,-0.277166208229997
0.00348625,-0.1673886836200462
0.0034865,-0.2242978911632416
0.00348675,-0.2273285590205716
0.003487,-0.2236244094171682
0.00348725,-0.1811950594145493
0.0034875,-0.2441656026724046
0.00348775,-0.2007260300506755
0.003488,-0.2047669205271154
0.00348825,-0.2562882741017243
0.0034885,-0.1559394939368
0.00348875,-0.267400722911934
0.003489,-0.1768174280650727
0.00348925,-0.2357470808464881
0.0034895,-0.2088078110035554
0.00348975,-0.2232876685441316
0.00349,-0.1838889863988427
0.00349025,-0.2650435368006774
0.0034905,-0.1502148990951766
0.00349075,-0.2778396899760704
0.003491,-0.1761439463189993
0.00349125,-0.223961150290205
0.0034915,-0.2104915153687386
0.00349175,-0.2189100371946551
0.003492,-0.2306959677509381
0.00349225,-0.1855726907640258
0.0034925,-0.2303592268779016
0.00349275,-0.221940705051985
0.003493,-0.1980321030663823
0.00349325,-0.2273285590205716
0.0034935,-0.2178998145755451
0.00349375,-0.1828787637797327
0.003494,-0.2707681316423005
0.00349425,-0.15391904869858
0.0034945,-0.2687476864040805
0.00349475,-0.1798480959224027
0.003495,-0.2273285590205716
0.00349525,-0.2054404022731888
0.0034955,-0.2418084165611478
0.00349575,-0.1710928332234496
0.003496,-0.2741355403726671
0.00349625,-0.14785771298392
0.0034965,-0.2549413106095777
0.00349675,-0.2125119606069585
0.003497,-0.207124106638372
0.00349725,-0.2010627709237121
0.0034975,-0.2424818983072212
0.00349775,-0.1811950594145493
0.003498,-0.2364205625925613
0.00349825,-0.2232876685441316
0.0034985,-0.1744602419538162
0.00349875,-0.2660537594197874
0.003499,-0.1620008296514597
0.00349925,-0.2610026463242374
0.0034995,-0.190287062986539
0.00349975,-0.2168895919564351
0.0035,-0.2047669205271154
0.00350025,-0.2434921209263312
0.0035005,-0.1700826106043396
0.00350075,-0.283227543944657
0.003501,-0.1434800816344435
0.00350125,-0.2525841244983209
0.0035015,-0.1872563951292092
0.00350175,-0.2428186391802578
0.003502,-0.2074608475114086
0.00350225,-0.1976953621933455
0.0035025,-0.2448390844184778
0.00350275,-0.1987055848124555
0.003503,-0.2067873657653354
0.00350325,-0.2360838217195247
0.0035035,-0.1889400994943924
0.00350375,-0.224971372909315
0.003504,-0.2360838217195247
0.00350425,-0.1764806871920361
0.0035045,-0.2549413106095777
0.00350475,-0.1801848367954393
0.003505,-0.226991818147535
0.00350525,-0.2253081137823516
0.0035055,-0.2010627709237121
0.00350575,-0.2222774459250216
0.003506,-0.222950927671095
0.00350625,-0.1788378733032927
0.0035065,-0.2505636792601009
0.00350675,-0.2185732963216185
0.003507,-0.1818685411606227
0.00350725,-0.2391144895768547
0.0035075,-0.2135221832260685
0.00350775,-0.1950014352090523
0.003508,-0.2478697522758078
0.00350825,-0.1818685411606227
0.0035085,-0.2293490042587916
0.00350875,-0.2216039641789485
0.003509,-0.1906238038595758
0.00350925,-0.2418084165611478
0.0035095,-0.2077975883844454
0.00350975,-0.1919707673517224
0.00351,-0.2495534566409912
0.00351025,-0.1781643915572193
0.0035105,-0.2327164129891581
0.00351075,-0.222950927671095
0.003511,-0.1832155046527693
0.00351125,-0.2455125661645512
0.0035115,-0.2010627709237121
0.00351175,-0.2273285590205716
0.003512,-0.1976953621933455
0.00351225,-0.2084710701305186
0.0035125,-0.2441656026724046
0.00351275,-0.1886033586213558
0.003513,-0.224971372909315
0.00351325,-0.221940705051985
0.0035135,-0.1862461725100992
0.00351375,-0.2495534566409912
0.003514,-0.1973586213203089
0.00351425,-0.2094812927496286
0.0035145,-0.2384410078307813
0.00351475,-0.1822052820336593
0.003515,-0.2387777487038181
0.00351525,-0.2162161102103619
0.0035155,-0.1943279534629789
0.00351575,-0.2401247121959647
0.003516,-0.1906238038595758
0.00351625,-0.2131854423530319
0.0035165,-0.2434921209263312
0.00351675,-0.1953381760820889
0.003517,-0.1956749169551255
0.00351725,-0.2502269383870643
0.0035175,-0.191297285605649
0.00351775,-0.2226141867980582
0.003518,-0.2273285590205716
0.00351825,-0.1811950594145493
0.0035185,-0.2451758252915144
0.00351875,-0.2057771431462254
0.003519,-0.2007260300506755
0.00351925,-0.2434921209263312
0.0035195,-0.1845624681449158
0.00351975,-0.228002040766645
0.00352,-0.2286755225127182
0.00352025,-0.1832155046527693
0.0035205,-0.2488799748949178
0.00352075,-0.1953381760820889
0.003521,-0.204093438781042
0.00352125,-0.2438288617993678
0.0035215,-0.1923075082247589
0.00352175,-0.2330531538621947
0.003522,-0.1865829133831358
0.00352225,-0.2350735991004147
0.0035225,-0.223961150290205
0.00352275,-0.1852359498909892
0.003523,-0.2438288617993678
0.00352325,-0.1970218804472723
0.0035235,-0.209144551876592
0.00352375,-0.2407981939420378
0.003524,-0.1818685411606227
0.00352425,-0.2344001173543413
0.0035245,-0.2162161102103619
0.00352475,-0.1926442490977958
0.003525,-0.2465227887836612
0.00352525,-0.1933177308438689
0.0035255,-0.2148691467182151
0.00352575,-0.2337266356082681
0.003526,-0.1852359498909892
0.00352625,-0.2367573034655981
0.0035265,-0.2155426284642885
0.00352675,-0.190287062986539
0.003527,-0.2509004201331377
0.00352725,-0.1825420229066959
0.0035275,-0.2273285590205716
0.00352775,-0.224971372909315
0.003528,-0.1882666177483192
0.00352825,-0.2381042669577447
0.0035285,-0.2047669205271154
0.00352875,-0.1983688439394189
0.003529,-0.2438288617993678
0.00352925,-0.1916340264786858
0.0035295,-0.2168895919564351
0.00352975,-0.2350735991004147
0.00353,-0.1683989062391562
0.00353025,-0.264370055054604
0.0035305,-0.1815318002875859
0.00353075,-0.2293490042587916
0.003531,-0.2172263328294717
0.00353125,-0.2135221832260685
0.0035315,-0.1838889863988427
0.00353175,-0.2711048725153373
0.003532,-0.1633477931436063
0.00353225,-0.2337266356082681
0.0035325,-0.2165528510833985
0.00353275,-0.2088078110035554
0.003533,-0.2168895919564351
0.00353325,-0.2306959677509381
0.0035335,-0.1801848367954393
0.00353375,-0.2502269383870643
0.003534,-0.1953381760820889
0.00353425,-0.206113884019262
0.0035345,-0.2542678288635043
0.00353475,-0.1582966800480565
0.003535,-0.266390500292824
0.00353525,-0.1785011324302559
0.0035355,-0.2327164129891581
0.00353575,-0.2094812927496286
0.003536,-0.2253081137823516
0.00353625,-0.1791746141763293
0.0035365,-0.2734620586265939
0.00353675,-0.1397759320310401
0.003537,-0.2835642848176936
0.00353725,-0.1704193514773762
0.0035375,-0.2303592268779016
0.00353775,-0.2189100371946551
0.003538,-0.2057771431462254
0.00353825,-0.209144551876592
0.0035385,-0.2411349348150746
0.00353875,-0.1771541689381093
0.003539,-0.2468595296566978
0.00353925,-0.2067873657653354
0.0035395,-0.1899503221135024
0.00353975,-0.2636965733085308
0.00354,-0.1623375705244965
0.00354025,-0.2552780514826143
0.0035405,-0.1923075082247589
0.00354075,-0.2175630737025085
0.003541,-0.2138589240991051
0.00354125,-0.2293490042587916
0.0035415,-0.1747969828268527
0.00354175,-0.2748090221187405
0.003542,-0.1475209721108834
0.00354225,-0.266390500292824
0.0035425,-0.1869196542561724
0.00354275,-0.2158793693373251
0.003543,-0.222950927671095
0.00354325,-0.2098180336226654
0.0035435,-0.2000525483046023
0.00354375,-0.2461860479106244
0.003544,-0.1778276506841827
0.00354425,-0.2364205625925613
0.0035445,-0.2199202598137651
0.00354475,-0.1791746141763293
0.003545,-0.2650435368006774
0.00354525,-0.1650314975087896
0.0035455,-0.2495534566409912
0.00354575,-0.1987055848124555
0.003546,-0.2182365554485817
0.00354625,-0.204093438781042
0.0035465,-0.2465227887836612
0.00354675,-0.1566129756828731
0.003547,-0.2859214709289501
0.00354725,-0.1448270451265901
0.0035475,-0.263359832435494
0.00354775,-0.1933177308438689
0.003548,-0.2168895919564351
0.00354825,-0.2189100371946551
0.0035485,-0.2205937415598385
0.00354875,-0.1879298768752824
0.003549,-0.2505636792601009
0.00354925,-0.1791746141763293
0.0035495,-0.2276652998936082
0.00354975,-0.2344001173543413
0.00355,-0.1700826106043396
0.00355025,-0.2667272411658606
0.0035505,-0.1704193514773762
0.00355075,-0.2367573034655981
0.003551,-0.2104915153687386
0.00355125,-0.2168895919564351
0.0035515,-0.2000525483046023
0.00355175,-0.2293490042587916
0.003552,-0.2064506248922986
0.00355225,-0.2387777487038181
0.0035525,-0.1633477931436063
0.00355275,-0.2680742046580074
0.003553,-0.1771541689381093
0.00355325,-0.2290122633857548
0.0035535,-0.223961150290205
0.00355375,-0.191297285605649
0.003554,-0.2360838217195247
0.00355425,-0.2131854423530319
0.0035545,-0.1990423256854923
0.00355475,-0.2421451574341846
0.003555,-0.1906238038595758
0.00355525,-0.2115017379878485
0.0035555,-0.2397879713229278
0.00355575,-0.1801848367954393
0.003556,-0.2515739018792109
0.00355625,-0.2003892891776389
0.0035565,-0.1946646943360157
